total_syn,req_size,req_type,topo_size,increment_type
1.8131414,4,simple,mid,TRUE
2.0552291,4,order,mid,FALSE
2.0562378,4,order,mid,TRUE
3.6642945,8,simple,mid,FALSE
3.5661822,8,simple,mid,TRUE
7.3200126,8,order,mid,FALSE
6.2192482,8,order,mid,TRUE
7.3622683,16,simple,mid,FALSE
7.0970805,16,simple,mid,TRUE
8.2490086,16,order,mid,FALSE
8.1527917,16,order,mid,TRUE
0.8725266,2,simple,mid,FALSE
0.8643405,2,simple,mid,TRUE
0.9734659,2,order,mid,FALSE
0.9646209,2,order,mid,TRUE
1.8483733,4,simple,mid,FALSE
1.889301,4,simple,mid,TRUE
1.9726304,4,order,mid,FALSE
1.9002744,4,order,mid,TRUE
3.4977197,8,simple,mid,FALSE
3.5297682,8,simple,mid,TRUE
5.8656173,8,order,mid,FALSE
4.8108977,8,order,mid,TRUE
6.9175285,16,simple,mid,FALSE
6.9370716,16,simple,mid,TRUE
14.9292473,16,order,mid,FALSE
11.7364596,16,order,mid,TRUE
0.924664,2,simple,mid,FALSE
0.9213598,2,simple,mid,TRUE
0.906028,2,order,mid,FALSE
0.8810433,2,order,mid,TRUE
1.854812,4,simple,mid,FALSE
1.7958489,4,simple,mid,TRUE
1.8835914,4,order,mid,FALSE
1.8598771,4,order,mid,TRUE
3.5964211,8,simple,mid,FALSE
3.5004795,8,simple,mid,TRUE
3.6457813,8,order,mid,FALSE
3.7055956,8,order,mid,TRUE
6.9403852,16,simple,mid,FALSE
6.7958352,16,simple,mid,TRUE
7.316288,16,order,mid,FALSE
7.3442563,16,order,mid,TRUE
0.9098747,2,simple,mid,FALSE
0.8385158,2,simple,mid,TRUE
1.504857,2,order,mid,FALSE
0.9445576,2,order,mid,TRUE
1.6967086,4,simple,mid,FALSE
1.7007389,4,simple,mid,TRUE
2.5626072,4,order,mid,FALSE
1.8859711,4,order,mid,TRUE
3.553977,8,simple,mid,FALSE
3.6504736,8,simple,mid,TRUE
3.8737454,8,order,mid,FALSE
3.6983099,8,order,mid,TRUE
7.078347,16,simple,mid,FALSE
7.0532274,16,simple,mid,TRUE
9.1045207,16,order,mid,FALSE
9.0594113,16,order,mid,TRUE
0.9145823,2,simple,mid,FALSE
0.8730858,2,simple,mid,TRUE
1.8552936,2,order,mid,FALSE
1.1855828,2,order,mid,TRUE
1.8540711,4,simple,mid,FALSE
1.8153898,4,simple,mid,TRUE
3.2095115,4,order,mid,FALSE
2.3662689,4,order,mid,TRUE
3.4363623,8,simple,mid,FALSE
3.3907495,8,simple,mid,TRUE
4.7061849,8,order,mid,FALSE
4.6335833,8,order,mid,TRUE
7.6747407,16,simple,mid,FALSE
7.4792192,16,simple,mid,TRUE
9.2705843,16,order,mid,FALSE
9.2046975,16,order,mid,TRUE
2.3217609,2,simple,large,FALSE
2.2806725,2,simple,large,TRUE
5.8540167,2,order,large,FALSE
3.8057522,2,order,large,TRUE
5.1952431,4,simple,large,FALSE
5.217366,4,simple,large,TRUE
11.2900421,4,order,large,FALSE
12.2535581,4,order,large,TRUE
10.2012337,8,simple,large,FALSE
10.1866213,8,simple,large,TRUE
15.6333161,8,order,large,FALSE
15.4767194,8,order,large,TRUE
19.1277571,16,simple,large,FALSE
19.2249005,16,simple,large,TRUE
44.4578282,16,order,large,FALSE
43.1756643,16,order,large,TRUE
1.9456703,2,simple,large,FALSE
1.92135,2,simple,large,TRUE
4.2003533,2,order,large,FALSE
4.1728999,2,order,large,TRUE
4.1367162,4,simple,large,FALSE
4.1693581,4,simple,large,TRUE
5.3554789,4,order,large,FALSE
5.3855267,4,order,large,TRUE
8.3792825,8,simple,large,FALSE
8.159576,8,simple,large,TRUE
10.6789259,8,order,large,FALSE
10.6882901,8,order,large,TRUE
16.3407291,16,simple,large,FALSE
16.0118445,16,simple,large,TRUE
35.6129516,16,order,large,FALSE
35.2139497,16,order,large,TRUE
1.9009142,2,simple,large,FALSE
1.7330613,2,simple,large,TRUE
2.9531045,2,order,large,FALSE
2.8036031,2,order,large,TRUE
3.3076372,4,simple,large,FALSE
3.2218064,4,simple,large,TRUE
10.7526748,4,order,large,FALSE
10.5967464,4,order,large,TRUE
